Round 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 4 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 4 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 3 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 3 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 4 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 3 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 4 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 2 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 3 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 4 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 5 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: v3yR+aBOuPb2wLFo/gG0WQ==
Tour 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 3 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 3 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 4 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 5 | Joueur: 3f+4e3E3X1zqqI3K/yt3hA== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 1 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 2 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
Tour 3 | Joueur: v3yR+aBOuPb2wLFo/gG0WQ== | IA: 3f+4e3E3X1zqqI3K/yt3hA==
